agent,slope,R@250,R@500,R@1000,R@2000,R@4000
B3,1.3572954690580323,11.430472447168292,56.54176442762859,129.536169119004,276.3167275930594,570.7928402850088
B4,1.2066781612762816,11.461313559098555,39.049607883540794,80.4077839292234,168.99307300116237,360.86095107250793
DES-UCB,1.1644330842270032,11.205448205188095,30.198551570966483,66.44391488699166,146.1624673938618,288.17134110901844
