drift,agent,dyn_regret_mean,dyn_regret_std,recovery_time,mean_reward@10,mean_reward@20,mean_reward@50
none,B1,8.00561136593727,1.6209447934480683,,0.18688119848014115,0.2667934141728617,0.36099682103928465
none,B2,1.6260275631129573,0.42153148437061344,,0.4577878010723923,0.4550777820451402,0.45713563026154447
none,B3,10.372010216581184,1.8127429652646065,,0.18688119848014115,0.2667934141728617,0.36099682103928465
none,B4,23.354964743959744,5.090501017616343,,0.18688119848014115,0.2667934141728617,0.36099682103928465
none,B5,11.085970831995102,1.8739781045485089,,0.18753630864913856,0.26653145989034066,0.3611191584127416
none,B6,8.00561136593727,1.6209447934480683,,0.18688119848014115,0.2667934141728617,0.36099682103928465
none,B7,6.631630727347838,3.1116044493666157,,0.4577919474565108,0.45480331784321826,0.45658949326440407
none,B8,912.4493405934284,32.78674141119164,,0.0016554872138735213,-0.006342746194362596,-0.0021070873936054734
none,B9,0.0,0.0,,0.461379706851381,0.4585642977163971,0.4599721443407639
none,DES-UCB,12.09238309911351,4.10391776676322,,0.4577919474565108,0.45137036643575185,0.44932602479349515
abrupt,B1,130.8616644222771,39.71125019918529,886.8333333333334,0.19555465651360998,0.26977356267227015,0.3621554139869968
abrupt,B2,145.71198579187876,45.46703286913937,971.3,0.4569748063778752,0.45683018928909047,0.4590442382069798
abrupt,B3,49.31786027342236,9.99705553144349,249.41666666666666,0.19555465651360998,0.26977356267227015,0.3621554139869968
abrupt,B4,39.50875795131983,7.545897913479465,110.16666666666667,0.19555465651360998,0.26977356267227015,0.3621554139869968
abrupt,B5,40.87379947164412,8.977996028653155,199.95,0.19555465651360998,0.2697319248478985,0.3614903615777313
abrupt,B6,30.692584431289347,4.6317700311644225,116.0,0.19555465651360998,0.26977356267227015,0.3621554139869968
abrupt,B7,370.1355161447549,89.58056423823784,980.0,0.4570976715690759,0.4567505900153737,0.4585796174443539
abrupt,B8,1248.8659766598355,135.00315183497477,53.416666666666664,-9.331528616034891e-05,-0.004941896687010563,-0.00011609465923652265
abrupt,B9,0.0,0.0,0.0,0.4596309043513472,0.4599651472237492,0.4619631370751328
abrupt,DES-UCB,48.89135344177641,9.150365425057858,149.9,0.4570976715690759,0.4524717394035371,0.45016825544623185
gradual,B1,117.01655263237735,37.06119245518637,3.7333333333333334,0.19555465651360998,0.26977356267227015,0.3621554139869968
gradual,B2,128.90397538846466,40.72364842371101,25.583333333333332,0.4569748063778752,0.45683018928909047,0.4590442382069798
gradual,B3,34.484680273979606,7.141492510622777,11.516666666666667,0.19555465651360998,0.26977356267227015,0.3621554139869968
gradual,B4,28.554519695382183,5.187829715792593,6.35,0.19555465651360998,0.26977356267227015,0.3621554139869968
gradual,B5,29.6834828382143,6.803802955355333,12.633333333333333,0.19555465651360998,0.2697319248478985,0.3614903615777313
gradual,B6,33.85472510961533,4.470099920406329,3.7333333333333334,0.19555465651360998,0.26977356267227015,0.3621554139869968
gradual,B7,304.8990427785303,72.56380232373853,4.7,0.4570976715690759,0.4567505900153737,0.4585796174443539
gradual,B8,1186.3035712196863,122.98794661104037,0.5833333333333334,-9.331528616034929e-05,-0.004941896687010563,-0.00011609465923652265
gradual,B9,0.0,0.0,0.0,0.4596309043513472,0.4599651472237492,0.4619631370751328
gradual,DES-UCB,37.55515908471299,7.340182264888876,14.866666666666667,0.4570976715690759,0.4524717394035371,0.45016825544623185
recurring,B1,91.78625617979984,26.195685393907322,732.55,0.18688119848014115,0.2667934141728617,0.36099682103928465
recurring,B2,96.35017160651104,27.3541373848774,1052.0333333333333,0.4577878010723923,0.4550777820451402,0.45713563026154447
recurring,B3,79.75995201157303,19.8755781463563,236.26666666666668,0.18688119848014115,0.2667934141728617,0.36099682103928465
recurring,B4,50.682731446552516,12.310437948084688,97.16666666666667,0.18688119848014115,0.2667934141728617,0.36099682103928465
recurring,B5,57.32886773746839,13.961797621925328,205.26666666666668,0.18753630864913856,0.26653145989034066,0.3611191584127416
recurring,B6,39.6301757958519,5.281094510553903,98.23333333333333,0.18688119848014115,0.2667934141728617,0.36099682103928465
recurring,B7,188.98438629458835,39.829271664972886,418.98333333333335,0.4577919474565108,0.45480331784321826,0.45658949326440407
recurring,B8,1073.9947783037744,95.58138502402689,21.783333333333335,0.0016554872138735215,-0.006342746194362597,-0.002107087393605473
recurring,B9,0.0,0.0,0.0,0.461379706851381,0.4585642977163971,0.4599721443407639
recurring,DES-UCB,50.802873590209956,12.62646404968672,158.65,0.4577919474565108,0.45137036643575185,0.44932602479349515
incremental,B1,21.644632926833072,4.715435695152662,,0.17217006934885998,0.261343383981805,0.3574969727948541
incremental,B2,18.375113772715405,5.454973854031562,,0.45657772972898303,0.45899171056004257,0.45755805474549177
incremental,B3,15.310341156574692,2.109060814973057,,0.17217006934885998,0.261343383981805,0.3574969727948541
incremental,B4,25.493475275104323,3.6685605238221006,,0.17217006934885998,0.261343383981805,0.3574969727948541
incremental,B5,14.945581959063514,2.0964351067008136,,0.17422671850852356,0.26049784623699734,0.35713431058826445
incremental,B6,23.068639530601963,4.841277315237165,,0.17217006934885998,0.261343383981805,0.3574969727948541
incremental,B7,47.57769385054743,15.971432973756409,,0.4569925383117454,0.4592664922541392,0.4574658783827164
